date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
1990-01-01 01:00:00,0.0,67,3.1,160,0,0,0
1990-01-01 02:00:00,-2.8,78,2.1,180,0,0,0
1990-01-01 03:00:00,-2.2,75,2.6,150,0,0,0
1990-01-01 04:00:00,-2.2,75,3.1,190,0,0,0
1990-01-01 05:00:00,-2.8,75,0.0,0,0,0,0
1990-01-01 06:00:00,-3.3,78,3.1,120,0,0,0
1990-01-01 07:00:00,-3.9,81,1.5,170,0,0,0
1990-01-01 08:00:00,-2.2,69,2.1,140,2,1,2
1990-01-01 09:00:00,-2.2,85,1.5,110,74,352,41
1990-01-01 10:00:00,2.2,59,1.5,240,197,676,37
1990-01-01 11:00:00,5.0,49,2.6,150,287,516,108
1990-01-01 12:00:00,7.8,36,4.6,190,339,605,87
1990-01-01 13:00:00,4.4,62,4.6,310,254,318,114
1990-01-01 14:00:00,3.9,60,3.6,310,150,0,150
1990-01-01 15:00:00,2.8,70,4.6,300,119,0,119
1990-01-01 16:00:00,2.2,73,4.1,290,58,0,58
1990-01-01 17:00:00,1.1,79,1.5,160,21,0,21
1990-01-01 18:00:00,0.6,85,2.1,230,1,0,1
1990-01-01 19:00:00,1.7,73,2.1,120,0,0,0
1990-01-01 20:00:00,5.0,45,6.2,190,0,0,0
1990-01-01 21:00:00,1.1,79,3.6,280,0,0,0
1990-01-01 22:00:00,0.6,82,2.1,320,0,0,0
1990-01-01 23:00:00,2.8,62,2.6,290,0,0,0
1990-01-02 00:00:00,0.6,79,3.6,290,0,0,0
1990-01-02 01:00:00,5.6,40,5.7,200,0,0,0
1990-01-02 02:00:00,4.4,49,8.8,250,0,0,0
1990-01-02 03:00:00,1.1,79,3.6,320,0,0,0
1990-01-02 04:00:00,1.7,70,1.5,140,0,0,0
1990-01-02 05:00:00,2.2,64,2.1,220,0,0,0
1990-01-02 06:00:00,0.6,89,7.7,10,0,0,0
1990-01-02 07:00:00,0.0,100,3.6,350,0,0,0
1990-01-02 08:00:00,0.0,96,3.1,350,0,0,0
1990-01-02 09:00:00,0.0,100,1.5,20,29,5,29
1990-01-02 10:00:00,0.0,100,4.1,290,79,4,78
1990-01-02 11:00:00,0.6,92,6.7,300,124,3,123
1990-01-02 12:00:00,-0.6,92,7.7,310,171,9,168
1990-01-02 13:00:00,-1.7,92,6.2,340,238,6,236
1990-01-02 14:00:00,-1.1,89,4.1,360,178,4,177
1990-01-02 15:00:00,-1.7,78,4.6,10,153,0,153
1990-01-02 16:00:00,-2.2,82,4.1,240,127,2,126
1990-01-02 17:00:00,-2.8,89,2.6,280,39,1,39
1990-01-02 18:00:00,-4.4,96,2.1,230,3,1,2
1990-01-02 19:00:00,-4.4,96,2.1,250,0,0,0
1990-01-02 20:00:00,-3.9,78,4.6,340,0,0,0
1990-01-02 21:00:00,-5.0,78,4.1,360,0,0,0
1990-01-02 22:00:00,-5.0,81,4.1,10,0,0,0
1990-01-02 23:00:00,-8.3,81,4.1,350,0,0,0
1990-01-03 00:00:00,-8.9,81,3.6,360,0,0,0
1990-01-03 01:00:00,-11.1,88,4.1,360,0,0,0
1990-01-03 02:00:00,-9.4,84,3.6,10,0,0,0
1990-01-03 03:00:00,-10.6,92,0.0,0,0,0,0
1990-01-03 04:00:00,-10.0,88,2.1,30,0,0,0
1990-01-03 05:00:00,-13.3,96,2.6,230,0,0,0
1990-01-03 06:00:00,-12.8,92,2.6,180,0,0,0
1990-01-03 07:00:00,-12.2,92,2.6,150,0,0,0
1990-01-03 08:00:00,-11.1,88,3.1,170,6,19,2
1990-01-03 09:00:00,-11.1,96,3.1,200,67,543,16
1990-01-03 10:00:00,-8.3,88,2.1,190,219,804,28
1990-01-03 11:00:00,-4.4,66,0.0,0,355,912,37
1990-01-03 12:00:00,-3.3,69,3.1,350,443,943,47
1990-01-03 13:00:00,-3.3,66,3.6,360,449,778,103
1990-01-03 14:00:00,-3.3,63,3.6,340,399,777,71
1990-01-03 15:00:00,-2.8,63,3.1,340,361,916,37
1990-01-03 16:00:00,-4.4,58,3.6,320,218,733,39
1990-01-03 17:00:00,-2.8,51,2.6,270,61,243,36
1990-01-03 18:00:00,-8.3,81,3.1,250,8,30,3
1990-01-03 19:00:00,-9.4,84,2.1,240,0,0,0
1990-01-03 20:00:00,-8.9,88,2.6,150,0,0,0
1990-01-03 21:00:00,-10.6,88,3.1,150,0,0,0
1990-01-03 22:00:00,-10.0,80,3.6,140,0,0,0
1990-01-03 23:00:00,-10.0,80,3.1,140,0,0,0
1990-01-04 00:00:00,-10.0,77,3.1,140,0,0,0
1990-01-04 01:00:00,-11.1,80,3.1,170,0,0,0
1990-01-04 02:00:00,-11.7,88,3.1,170,0,0,0
1990-01-04 03:00:00,-8.3,84,3.1,140,0,0,0
1990-01-04 04:00:00,-7.8,81,2.6,180,0,0,0
1990-01-04 05:00:00,-7.2,81,3.6,170,0,0,0
1990-01-04 06:00:00,-7.8,84,3.1,150,0,0,0
1990-01-04 07:00:00,-7.2,84,3.1,140,0,0,0
1990-01-04 08:00:00,-6.7,81,4.1,130,2,0,2
1990-01-04 09:00:00,-7.2,81,4.6,160,44,66,38
1990-01-04 10:00:00,-6.1,74,5.7,170,124,155,87
1990-01-04 11:00:00,-5.0,71,7.7,140,334,734,78
1990-01-04 12:00:00,-3.3,69,6.2,160,437,923,49
1990-01-04 13:00:00,-2.2,61,5.7,180,432,645,145
1990-01-04 14:00:00,-2.8,63,3.1,200,218,42,201
1990-01-04 15:00:00,-2.2,58,3.6,170,333,798,49
1990-01-04 16:00:00,-2.2,66,4.6,140,175,171,133
1990-01-04 17:00:00,-2.2,63,2.1,140,57,85,48
1990-01-04 18:00:00,-2.8,66,3.6,160,0,0,0
1990-01-04 19:00:00,-2.8,63,5.7,140,0,0,0
1990-01-04 20:00:00,-3.3,66,4.6,160,0,0,0
1990-01-04 21:00:00,-3.3,69,3.1,130,0,0,0
1990-01-04 22:00:00,-2.8,69,3.1,100,0,0,0
1990-01-04 23:00:00,-2.8,72,3.6,140,0,0,0
1990-01-05 00:00:00,-2.8,72,4.1,180,0,0,0
1990-01-05 01:00:00,-2.8,72,4.1,120,0,0,0
1990-01-05 02:00:00,-2.8,72,6.7,140,0,0,0
1990-01-05 03:00:00,-3.3,85,7.2,160,0,0,0
1990-01-05 04:00:00,-3.3,88,4.6,160,0,0,0
1990-01-05 05:00:00,-3.9,96,3.1,180,0,0,0
1990-01-05 06:00:00,-3.3,92,3.1,130,0,0,0
1990-01-05 07:00:00,-3.3,92,3.6,150,0,0,0
1990-01-05 08:00:00,-3.3,92,4.1,140,1,0,1
1990-01-05 09:00:00,-4.4,92,3.1,110,25,3,30
1990-01-05 10:00:00,-2.8,89,2.1,110,103,79,84
1990-01-05 11:00:00,-0.6,75,2.6,160,318,679,80
1990-01-05 12:00:00,0.6,73,0.0,0,422,746,93
1990-01-05 13:00:00,1.7,67,2.1,230,460,767,97
1990-01-05 14:00:00,1.7,73,4.1,350,420,750,93
1990-01-05 15:00:00,1.1,73,3.1,20,339,684,89
1990-01-05 16:00:00,1.7,70,2.6,360,201,545,64
1990-01-05 17:00:00,-1.1,78,0.0,0,38,79,36
1990-01-05 18:00:00,-3.3,88,2.6,220,1,1,1
1990-01-05 19:00:00,-4.4,92,1.5,180,0,0,0
1990-01-05 20:00:00,-5.6,88,3.6,150,0,0,0
1990-01-05 21:00:00,-4.4,88,4.1,140,0,0,0
1990-01-05 22:00:00,-5.0,85,3.6,150,0,0,0
1990-01-05 23:00:00,-6.7,88,3.6,150,0,0,0
1990-01-06 00:00:00,-5.0,85,5.2,140,0,0,0
1990-01-06 01:00:00,-7.2,92,4.1,150,0,0,0
