OBJECTID,NTD_ID,NTAD_NTD_ID,Agency_Name,Common_Name,City,State,Lon,Lat,In_Latest_NTAD_Upload,License,x,y
1,00001,00001,King County,King County Metro (KCM),Seattle,WA,-122.330978,47.59883701,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.330977999972,47.5988370101486
2,00002,00002,Spokane Transit Authority,Spokane Transit Authority (STA),Spokane,WA,-117.4306603,47.66841947,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-117.430660299875,47.6684194700018
3,00003,00003,Pierce County Transportation Benefit Area Authority,Pierce Transit,Lakewood,WA,-122.484515,47.17086399,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.48451500035,47.170863989983
4,00004,00004,Confederated Tribes of the Colville Indian Reservation,Colville Confederated Tribes Transit,Nespelem,WA,-118.975263,48.13192465,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-118.975263000397,48.1319246500472
5,00005,00005,City of Everett,Everett Transit (ET),Everett,WA,-122.197704,47.97546098,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.197704000115,47.9754609799483
6,00006,00006,City of Yakima,Yakima Transit (YT),Yakima,WA,-120.505216,46.60492502,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-120.505216000418,46.6049250197236
7,00007,00007,Lane Transit District,Lane Transit District (LTD),Eugene,OR,-123.041425,44.04257298,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-123.041425000191,44.0425729803201
8,00008,00008,Tri-County Metropolitan Transportation District of Oregon,TriMet,Portland,OR,-122.677192,45.51012998,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.677192000102,45.5101299799268
9,00010,00010,Klamath Tribes,Quail Trail ,Chiloquin,OR,-121.873914,42.57447401,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-121.87391400033,42.5744740097146
10,00011,00011,Valley Regional Transit,Valley Regional Transit (VRT),Meridian,ID,-116.3900608,43.61015731,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-116.390060800412,43.6101573098205
11,00012,00012,Municipality of Anchorage,Municipality of Anchorage People Mover,Anchorage,AK,-149.8951896,61.21649165,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-149.895189599702,61.2164916501992
12,00014,00014,Sitka Tribe of Alaska,the RIDE,Sitka,AK,-135.348191,57.05689399,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-135.348190999904,57.0568939898281
13,00016,00016,City of Longview,RiverCities Transit (RCT),Longview,WA,-122.937603,46.13849101,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.937602999949,46.1384910096969
14,00018,00018,Ben Franklin Transit,Ben Franklin Transit (BFT),Richland,WA,-119.240947,46.23943699,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-119.240946999571,46.239436989923
15,00019,00019,Intercity Transit,Intercity Transit (IT),Olympia,WA,-122.858072,47.04480801,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.85807200015,47.0448080098202
16,00020,00020,Kitsap County Public Transportation Benefit Area Authority,Kitsap Transit (KT),Bremerton,WA,-122.624764,47.56307298,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.624763999772,47.5630729798115
17,00021,00021,Whatcom Transportation Authority,Whatcom Transportation Authority (WTA),Bellingham,WA,-122.449029,48.786756,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.449028999903,48.7867559997658
18,00022,00022,City of Pocatello,Pocatello Regional Transit (PRT),Pocatello,ID,-112.4486212,42.8739457,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-112.448621200092,42.8739456998963
19,00023,00023,City of Seattle,Seattle Center Monorail,Seattle,WA,-122.349729,47.621298,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.349729000224,47.621297999983
20,00024,00024,Clark County Public Transportation Benefit Area Authority,C-TRAN,Vancouver,WA,-122.6030543,45.6380825,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.603054300215,45.6380824999994
21,00025,00025,Salem Area Mass Transit District,Cherriots,Salem,OR,-123.0357753,44.94063352,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-123.035775300435,44.9406335198477
22,00028,00028,County of Pierce,Pierce County Ferry,Tacoma,WA,-122.443452,47.25329699,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.443451999904,47.2532969898058
23,00029,00029,Snohomish County Public Transportation Benefit Area Corporation,Community Transit (CT),Everett,WA,-122.265483,47.91899902,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.265483000416,47.9189990199598
24,00033,00033,Senior Services of Snohomish County,Homage Senior Services,Lynnwood,WA,-122.301478,47.820362,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.301477999778,47.8203620001852
25,00034,00034,Rogue Valley Transportation District,Rogue Valley Transportation District (RVTD),Medford,OR,-122.854849,42.36300601,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.854849000319,42.3630060101405
26,00035,00035,Washington State Ferries,Washington State Ferries (WSF),Olympia,WA,-122.897466,47.034394,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.897465999967,47.034394000029
27,00036,00036,Makah Tribal Council,Makah Public Transit,Neah Bay,WA,-124.6675206,48.34833042,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-124.667520600432,48.3483304199636
28,00040,00040,Central Puget Sound Regional Transit Authority,Sound Transit (ST),Seattle,WA,-122.328553,47.59861502,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.328552999659,47.5986150200139
29,00041,00041,Alaska Railroad Corporation,Alaska Railroad,Anchorage,AK,-149.8886396,61.22279513,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-149.888639600283,61.2227951298287
30,00043,00043,Chelan Douglas PTBA,Link Transit,Wenatchee,WA,-120.326692,47.46676198,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-120.326692000188,47.4667619801208
31,00044,00044,Skagit Transit,Skagit Transit (SKT),Burlington,WA,-122.331796,48.481854,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.331795999581,48.4818539997378
32,00045,00045,Fairbanks North Star Borough,Metropolitan Area Commuter System (MACS),Fairbanks,AK,-147.725517,64.84530801,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-147.725516999883,64.8453080101138
33,00046,00046,City of Wilsonville,South Metro Area Regional Transit (SMART),Wilsonville,OR,-122.760006,45.304698,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.760006000007,45.3046980000025
34,00047,00047,City of Corvallis,Corvallis Transit System (CTS),Corvallis,OR,-123.263731,44.56423699,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-123.263731000009,44.5642369900627
35,00048,00048,City of Lewiston,Lewiston Transit System (LTS),Lewiston,ID,-117.018222,46.41779999,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-117.018222000231,46.4177999901771
36,00051,00051,Asotin County Public Transportation Benefit Area,Asotin County Transit,Clarkston,WA,-117.068081,46.418765,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-117.068081000308,46.4187650002966
37,00053,00053,Coeur d'Alene Tribe,Citylink Transit,Plummer,ID,-116.887755,47.33757598,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-116.887755000279,47.3375759800608
38,00057,00057,Central Oregon Intergovernmental Council,Cascades East Transit (CET),Bend,OR,-121.301316,44.05823302,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-121.301316000234,44.0582330202905
39,00058,00058,City of Portland,Portland Streetcar,Portland,OR,-122.679134,45.51501102,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.679133999643,45.515011019701
40,00059,00059,Josephine County,Josephine Community Transit (JCT),Grants Pass,OR,-123.343104,42.42625698,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-123.343103999625,42.42625698007
41,00061,00061,City of Albany,"Albany Transit System, Linn-Benton Loop ",Albany,OR,-123.106661,44.63524001,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-123.106661000178,44.6352400102015
42,00064,00064,Valley Transit,Valley Transit (VT),Walla Walla,WA,-118.362219,46.05908199,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-118.362218999623,46.0590819897499
43,00065,00065,Benton County,Benton Area Transit (BAT),Corvallis,OR,-123.301582,44.55075398,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-123.301581999595,44.5507539798222
44,00085,00085,Gulkana Village Council,Soaring Eagle Transit (SET),Gakona,AK,-145.3519858,62.28990581,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-145.351985799577,62.2899058098872
45,00095,00095,Lummi Nation,Lummi Transit,Bellingham,WA,-122.625896,48.79192499,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.6258960001,48.7919249900805
46,00103,00103,Squaxin Island Tribe,Squaxin Island Transit (SIT),Shelton,WA,-123.080183,47.12180601,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-123.080182999974,47.1218060100071
47,00111,00111,Confederated Tribes and Bands of The Yakama Nation,Pahto Public Passage,Toppenish,WA,-120.339951,46.37546099,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-120.339950999933,46.3754609897714
48,00119,00119,Confederated Tribes of the Umatilla Indian Reservation,Kayak Public Transit,Pendleton,OR,-118.685772,45.66596,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-118.685771999582,45.6659599997202
49,00135,00135,Nez Perce Tribe,Appaloosa Express,Lapwai,ID,-116.805373,46.39972999,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-116.805373000194,46.399729989892
50,00199,00199,Seldovia Village Tribe,Seldovia Bay Ferry,Seldovia,AK,-151.711749,59.43692999,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-151.711748999668,59.4369299899168
51,00207,00207,Spokane Tribe of Indians,The Moccasin Express (TME),Wellpinit,WA,-117.9894072,47.88675756,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-117.989407199962,47.8867575601344
52,00285,00285,Thurston Regional Planning Council,ruralTRANSIT,Olympia,WA,-122.919292,47.02763701,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.919291999913,47.0276370101687
53,00286,00286,Rural Resources Community Action,Rural Resources Transportation Department,Colville,WA,-117.908737,48.53576301,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-117.908736999838,48.535763010289
54,00287,00287,People for People Moses Lake,People for People (PFP),Yakima,WA,-120.514693,46.60401298,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-120.51469300029,46.6040129802643
55,00294,00294,City of Pullman,Pullman Transit,Pullman,WA,-117.182745,46.72053501,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-117.182745000377,46.7205350096978
56,00296,00296,Tillamook County Transportation District,The Wave,Tillamook,OR,-123.824734,45.45699999,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-123.824734000067,45.4569999899829
57,00297,00297,People for People Yakima,People for People (PFP),Yakima,WA,-120.514693,46.60401298,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-120.51469300029,46.6040129802643
58,00298,00298,Island Transit,Island Transit,Coupeville,WA,-122.641778,48.208432,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.641777999625,48.2084320000158
59,00299,00299,Klickitat County Senior Services,Mount Adams Transportation Service (MATS),Goldendale,WA,-120.823637,45.82161601,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-120.823636999719,45.8216160099033
60,00301,00301,South Clackamas Transportation District,South Clackamas Transportation District (SCTD),Molalla,OR,-122.565777,45.14575302,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.565776999803,45.1457530201265
61,00303,00303,Clallam Transit System,Clallam Transit System (CTS),Port Angeles,WA,-123.4603592,48.11014429,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-123.460359200012,48.1101442900911
62,00307,00307,Coos County Area Transit,Coos County Area Transit (CCAT),Coos Bay,OR,-124.199752,43.35643898,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-124.199752000082,43.3564389797755
63,00308,00308,Curry County Public Transit Service District,Curry Public Transit,Brookings,OR,-124.275806,42.05310299,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-124.275805999608,42.0531029899675
64,00309,00309,Grant County Transportation Authority,Grant Transit Authority (GTA),Moses Lake,WA,-119.311908,47.17072301,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-119.311907999695,47.1707230101196
65,00310,00310,Lincoln County Transportation Service District,Lincoln County Transit,Newport,OR,-124.041437,44.63907401,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-124.041436999947,44.6390740097015
66,00311,00311,Mountain Rides Transportation Authority,Mountain Rides,Ketchum,ID,-114.369599,43.682643,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-114.369598999902,43.6826429998578
67,00312,00312,Hopesource,HopeSource Transit,Ellensburg,WA,-120.538697,46.984197,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-120.538696999778,46.9841970001916
68,00313,00313,Grant County Transportation District,The People Mover,John Day,OR,-118.952695,44.41575,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-118.952695000112,44.4157500002311
69,00314,00314,Grays Harbor Transit,Grays Harbor Transit (GHT),Hoquiam,WA,-123.855964,46.972146,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-123.85596400009,46.9721460000576
70,00315,00315,Mason County Transportation Authority,Mason Transit Authority (MTA),Shelton,WA,-123.100865,47.24054799,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-123.100864999897,47.2405479902755
71,00316,00316,Jefferson Transit,Jefferson Transit Authority (JTA),Port Townsend,WA,-122.817866,48.05034499,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.817865999672,48.0503449900642
72,00319,00319,Hood River County Transportation District,Columbia Area Transit (CAT),Hood River,OR,-121.5014533,45.71176473,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-121.501453300012,45.7117647302496
73,00321,00321,Yamhill County,Yamhill County Transit (YCT),Mcminnville,OR,-123.193497,45.21181302,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-123.193497000156,45.2118130199093
74,00322,00322,Pacific Transit,Pacific Transit,Raymond,WA,-123.734822,46.68493502,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-123.734821999674,46.6849350199456
75,00323,00323,Malheur Council on Aging and Community Services,SRT-Malheur Express,Ontario,OR,-116.951524,44.023845,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-116.951524000204,44.0238449999766
76,00327,00327,Valley Transit,Valley Transit,Wasilla,AK,-149.456939,61.57214401,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-149.456938999988,61.5721440098498
77,00330,00330,City of Canby,Canby Area Transit (CAT),Canby,OR,-122.692119,45.264186,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.692118999751,45.2641859998946
78,00331,00331,Sunset Empire Transportation District,The Bus,Astoria,OR,-123.833334,46.19016799,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-123.83333399988,46.1901679897364
79,00332,00332,Okanogan County Transportation and Nutrition,Okanogan County Transportation and Nutrition (OCTN),Omak,WA,-119.536313,48.40394601,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-119.536313000311,48.4039460101391
80,00336,00336,Skamania County Senior Services,Skamania County Transit,Stevenson,WA,-121.883396,45.69454698,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-121.883396000225,45.6945469802191
81,00339,00339,Basin Transit Service,Basin Transit Service (BTS),Klamath Falls,OR,-121.76854,42.21875501,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-121.768539999637,42.2187550101547
82,00341,00341,Selkirks-Pend Oreille Transit Authority,Selkirks-Pend Oreille Transit Authority (SPOT Bus),Dover,ID,-116.616838,48.24606101,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-116.616838000165,48.2460610100743
83,00343,00343,Community Connection of Northeast Oregon,NEOTransit,La Grande,OR,-118.0678299,45.31342426,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-118.067829899687,45.3134242599513
84,00345,00345,Glacier Valley Transit,Glacier Valley Transit (GVT),Girdwood,AK,-149.0988194,60.97054519,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-149.098819400123,60.9705451901647
85,00347,00347,"Regional Public Transportation, Inc.",SMART Transit,Moscow,ID,-117.0053996,46.72621328,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-117.005399599681,46.7262132798423
86,00348,00348,"Senior Citizens of Sweet Home, Inc.",Linn Shuttle,Sweet Home,OR,-122.724369,44.39383202,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.724368999948,44.3938320201177
87,00358,00358,Ketchikan Gateway Borough,The Bus,Ketchikan,AK,-131.667633,55.34949001,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-131.66763299986,55.3494900097523
88,00359,00359,City of Pendleton,Let'er Bus,Pendleton,OR,-118.79121,45.66973701,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-118.791209999849,45.6697370099832
89,00360,00360,City of Woodburn,Woodburn Transit System (WTS),Woodburn,OR,-122.859455,45.14201301,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.859454999649,45.142013010131
90,00363,00363,Clackamas County,"Mt Hood Express, ClackCo Shuttles",Oregon City,OR,-122.598771,45.332899,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.59877099999,45.3328990000317
91,00364,00364,Lewis County Transit,Lewis County Transit,Centralia,WA,-122.952954,46.71462301,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.952953999921,46.7146230102372
92,00368,00368,Lower Columbia Community Action Council,Lower Columbia CAP,Longview,WA,-122.932727,46.140237,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-122.932727000283,46.1402369998341
93,00371,00371,Wahkiakum County,Wahkiakum on the Move (WOTM),Cathlamet,WA,-123.387543,46.215242,Yes - Agency fetch URL available and in compliance with GTFS standards.,Public Domain,-123.387543000062,46.2152419996935
