route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
19930,2,5182559,Ogden,,0,1155937,226296,1,1
19930,2,5182560,Ogden,,0,1155939,226296,1,1
19930,2,5182561,Ogden,,0,1155941,226296,1,1
19930,2,5182562,Ogden,,0,1155938,226296,1,1
19930,2,5182563,Ogden,,0,1155943,226296,1,1
19930,2,5182564,Ogden,,0,1155945,226296,1,1
19930,2,5182565,Ogden,,0,1155940,226296,1,1
19930,2,5182566,Ogden,,0,1155947,226296,1,1
19930,2,5182567,Ogden,,0,1155942,226296,1,1
19930,2,5182568,Ogden,,0,1155970,226296,1,1
19930,2,5182569,Ogden,,0,1155944,226296,1,1
19930,2,5182570,Ogden,,0,1155939,226296,1,1
19930,2,5182571,Ogden,,0,1155946,226296,1,1
19930,2,5182572,Ogden,,0,1155941,226296,1,1
19930,2,5182573,Ogden,,0,1155938,226296,1,1
19930,2,5182574,Ogden,,0,1155972,226296,1,1
19930,2,5182575,Ogden,,0,1155945,226296,1,1
19930,2,5182576,Ogden,,0,1155971,226296,1,1
19930,2,5182577,Ogden,,0,1155947,226296,1,1
19930,2,5182578,Ogden,,0,1155942,226296,1,1
19930,2,5182579,Ogden,,0,1155970,226296,1,1
19930,2,5182580,Ogden,,0,1155967,226296,1,1
19930,2,5182581,Ogden,,0,1155969,226296,1,1
19930,2,5182582,Ogden,,0,1155968,226296,1,1
19930,2,5182583,Ogden,,0,1155966,226296,1,1
19930,2,5182584,Ogden,,0,1155965,226296,1,1
19930,2,5182585,Ogden,,0,1155949,226296,1,1
19930,2,5182586,Ogden,,0,1155972,226296,1,1
19930,2,5182587,Ogden,,0,1155947,226296,1,1
19930,2,5182588,Ogden,,0,1155942,226296,1,1
19930,2,5182589,Ogden,,0,1155967,226296,1,1
19930,2,5182590,Downtown Salt Lake City,,1,1155938,226308,1,1
19930,2,5182591,Downtown Salt Lake City,,1,1155940,226308,1,1
19930,2,5182592,Downtown Salt Lake City,,1,1155942,226308,1,1
19930,2,5182607,Downtown Salt Lake City,,1,1155937,226308,1,1
19930,2,5182593,Downtown Salt Lake City,,1,1155944,226308,1,1
19930,2,5182609,Downtown Salt Lake City,,1,1155939,226308,1,1
19930,2,5182610,Downtown Salt Lake City,,1,1155946,226308,1,1
19930,2,5182611,Downtown Salt Lake City,,1,1155941,226308,1,1
19930,2,5182612,Downtown Salt Lake City,,1,1155938,226308,1,1
19930,2,5182613,Downtown Salt Lake City,,1,1155943,226308,1,1
19930,2,5182596,Downtown Salt Lake City,,1,1155945,226308,1,1
19930,2,5182615,Downtown Salt Lake City,,1,1155940,226308,1,1
19930,2,5182616,Downtown Salt Lake City,,1,1155947,226308,1,1
19930,2,5182617,Downtown Salt Lake City,,1,1155942,226308,1,1
19930,2,5182598,Downtown Salt Lake City,,1,1155970,226308,1,1
19930,2,5182619,Downtown Salt Lake City,,1,1155967,226308,1,1
19930,2,5182620,Downtown Salt Lake City,,1,1155969,226308,1,1
19930,2,5182621,Downtown Salt Lake City,,1,1155968,226308,1,1
19930,2,5182600,Downtown Salt Lake City,,1,1155966,226308,1,1
19930,2,5182623,Downtown Salt Lake City,,1,1155965,226308,1,1
19930,2,5182601,Downtown Salt Lake City,,1,1155949,226308,1,1
19930,2,5182625,Downtown Salt Lake City,,1,1155972,226308,1,1
19930,2,5182602,Downtown Salt Lake City,,1,1155945,226308,1,1
19930,2,5182627,Downtown Salt Lake City,,1,1155971,226308,1,1
19930,2,5182603,Downtown Salt Lake City,,1,1155947,226308,1,1
19930,2,5182629,Downtown Salt Lake City,,1,1155942,226308,1,1
19930,2,5182630,Downtown Salt Lake City,,1,1155967,226308,1,1
19930,2,5182605,Downtown Salt Lake City,,1,1155968,226308,1,1
19930,2,5182606,Downtown Salt Lake City,,1,1155965,226308,1,1
79372,2,5167585,Poplar Grove (400 S + Redwood Rd),,0,1153888,226314,1,1
79372,2,5167594,Poplar Grove (400 S + Redwood Rd),,0,1153887,226314,1,1
79372,2,5167589,Poplar Grove (400 S + Redwood Rd),,0,1153886,226314,1,1
79372,2,5167592,Poplar Grove (400 S + Redwood Rd),,0,1153888,226314,1,1
79372,2,5167587,Poplar Grove (400 S + Redwood Rd),,0,1153887,226314,1,1
79372,2,5167588,Poplar Grove (400 S + Redwood Rd),,0,1153886,226314,1,1
79372,2,5167593,Poplar Grove (400 S + Redwood Rd),,0,1153888,226314,1,1
79372,2,5167586,Poplar Grove (400 S + Redwood Rd),,0,1153887,226314,1,1
79372,2,5167584,Poplar Grove (400 S + Redwood Rd),,0,1153886,226314,1,1
79372,2,5167595,Poplar Grove (400 S + Redwood Rd),,0,1153885,226314,1,1
79372,2,5167590,Poplar Grove (400 S + Redwood Rd),,0,1153887,226314,1,1
79372,2,5167591,Poplar Grove (400 S + Redwood Rd),,0,1153886,226314,1,1
79372,2,5167596,Poplar Grove (400 S + Redwood Rd),,0,1153885,226314,1,1
79372,2,5167597,Poplar Grove (400 S + Redwood Rd),,0,1153887,226314,1,1
79372,2,5167598,Poplar Grove (400 S + Redwood Rd),,0,1153886,226314,1,1
79372,2,5167599,Poplar Grove (400 S + Redwood Rd),,0,1153885,226314,1,1
79372,2,5167613,Olympus Cove (Wasatch Blvd P+R),,1,1153886,226315,1,1
79372,2,5167611,Olympus Cove (Wasatch Blvd P+R),,1,1153888,226315,1,1
79372,2,5167606,Olympus Cove (Wasatch Blvd P+R),,1,1153887,226315,1,1
79372,2,5167609,Olympus Cove (Wasatch Blvd P+R),,1,1153886,226315,1,1
79372,2,5167602,Olympus Cove (Wasatch Blvd P+R),,1,1153888,226315,1,1
79372,2,5167604,Olympus Cove (Wasatch Blvd P+R),,1,1153887,226315,1,1
